detector_1,detector_2,lag,correlation,p_value,n_obs,q_value,significant,distance_km
D_EKATERINBURG,D_IRKUTSK,53,-0.1519491104099997,8.153994795322633e-05,720,0.0001358999132553,True,2812.175674506713
D_EKATERINBURG,D_KALININGRAD,18,0.1368902790180663,0.0002751684511081,720,0.0003439605638852,True,2485.946598575725
D_EKATERINBURG,D_Krasnoyarsk,-8,0.1366492636064596,0.0002551661123892,720,0.000328070715929,True,1969.0104939481432
D_EKATERINBURG,D_MOSCOW,-47,-0.1389687041566332,0.0002991694284231,720,0.0003638547102443,True,1416.7449696096703
D_EKATERINBURG,D_MURMANSK,-69,0.1981131870306618,3.474999447298783e-07,720,1.7374997236493914e-06,True,1908.1062173381329
D_EKATERINBURG,D_NOVOSIBIRSK,-71,0.1350539730200747,0.0005611078589398,720,0.0006474321449305,True,1399.5796347830626
D_EKATERINBURG,D_SOCHI,39,-0.1613307506009108,2.33598548544987e-05,720,6.56995917782776e-05,True,2076.7764611001744
D_EKATERINBURG,D_SPB,-70,0.2196494156472286,1.5274741005497654e-08,720,1.287886314719509e-07,True,1779.6580127279226
D_EKATERINBURG,D_Vladivostok,37,-0.1593154020674671,2.880569287004936e-05,720,7.20142321751234e-05,True,5064.881075382638
D_IRKUTSK,D_KALININGRAD,-56,0.1678901910503238,1.36770743650612e-05,720,4.396202474483957e-05,True,5212.553275548957
D_IRKUTSK,D_Krasnoyarsk,0,0.1543264293848303,3.1998453361628215e-05,720,7.578581059332999e-05,True,849.4850969240264
D_IRKUTSK,D_MOSCOW,72,0.1636587850403898,2.8355554744543632e-05,720,7.20142321751234e-05,True,4203.009646875932
D_IRKUTSK,D_MURMANSK,32,-0.1666713709597185,1.1099022707147472e-05,720,3.841969398627971e-05,True,4002.8344074028805
D_IRKUTSK,D_NOVOSIBIRSK,-22,0.2047844568264105,4.79912370815279e-08,720,3.08515095524108e-07,True,1434.5621428049085
D_IRKUTSK,D_SOCHI,68,-0.0971098610255249,0.0131110413417479,720,0.0131110413417479,True,4741.724608738031
D_IRKUTSK,D_SPB,71,0.1550014266963419,7.33616853902021e-05,720,0.0001269721477907,True,4414.525187077594
D_IRKUTSK,D_Vladivostok,6,-0.1960268425576568,1.2909720603651044e-07,720,7.261717839553711e-07,True,2283.6603076665338
D_KALININGRAD,D_Krasnoyarsk,-66,0.1354024109555074,0.0005164401181614,720,0.0006115738241385,True,4365.942939533899
D_KALININGRAD,D_MOSCOW,12,-0.1410038919655053,0.000167175849715,720,0.000242674620554,True,1091.743805292602
D_KALININGRAD,D_MURMANSK,-58,0.1672305876901345,1.5246420815601858e-05,720,4.573926244680557e-05,True,1709.4212879863937
D_KALININGRAD,D_NOVOSIBIRSK,26,0.1460701179690254,0.0001125322624807,720,0.000180855421844,True,3862.8361825262896
D_KALININGRAD,D_SOCHI,3,0.1650219075854294,8.93158345763498e-06,720,3.3493437966131175e-05,True,1858.297227940305
D_KALININGRAD,D_SPB,0,0.2427818147797353,4.050225639084142e-11,720,6.075338458626211e-10,True,829.6079676970141
D_KALININGRAD,D_Vladivostok,-52,0.1716489704987736,8.149052533600823e-06,720,3.333703309200336e-05,True,7359.135030636889
D_Krasnoyarsk,D_MOSCOW,-24,-0.1004873279430183,0.0079782102079678,720,0.0081595331672398,True,3353.744199677235
D_Krasnoyarsk,D_MURMANSK,-21,0.1507354111510684,6.307965439189255e-05,720,0.0001135433779054,True,3222.0304135763786
D_Krasnoyarsk,D_NOVOSIBIRSK,0,0.361564740672725,1.1703632448084639e-23,720,5.266634601638087e-22,True,636.2818560665794
D_Krasnoyarsk,D_SOCHI,56,0.1423058682523787,0.0002343386127314,720,0.0003101540462622,True,3944.531642762671
D_Krasnoyarsk,D_SPB,-47,-0.1264154164097286,0.0010140579058617,720,0.0010864906134233,True,3573.4711013450205
D_Krasnoyarsk,D_Vladivostok,2,-0.1374775921234047,0.0002199531782513,720,0.0002999361521609,True,3101.278201226474
